Anton, Teodor
Del Rio De Angelis, Salvador G.
Al-Ali, Hussein Ali Hussein
Jones,G
Brewer, Callum D
Lopez Martinez, Josep Manuel
Gurgenidze, Bukhuti
Gorbatov, Alexej
Balinov, Ilia
Mainka, Romuald
Borge, Nikolaj
Rotstein, Jefim
Zhu, Chen
Bacallao Alonso, Yusnel
Smagin, Sergey
Har-Zvi, Ronen
Kekki, Petri
Burg, Twan
Petrov,Vl5
Peralta, Fernando
Trapl, Jindrich
Lutz, C.
Apicella, Manuel
Moor, Roger
L'Ami, Erwin
Kritz, Leonid
Sokolov, Ivan
Meister, Peter
Jugelt, Tobias
Ouakhir, Mehdi Pierre
Lopez Mulet, Inigo
Strikovic, Aleksa
Ivanisevic, Ivan
Drenchev, Petar
Xu, Jun
Buckels, Valentin
Plaskett, H James
Raceanu, Valentin
Hertneck, Gerald
Flores,Di
Hug, Werner
Dzindzichashvili, Roman
Schmidt, Wlodzimierz
Rozentalis, Eduardas
Peek, Marcel
Yakovich, Y.
Kasimdzhanov, Rustam
Cseshkovsky, Vitaly
Neverov, V.
Chabanon, Jean-Luc
Georgiev, Kiril
Steiner,B
Pavlovic, Milos
Efimov, I.
Lesiege, Alexandre
Onischuk,Al
Amonatov, Farrukh
Moskalenko, V.
Rubinetti, Jorge
Okhotnik, Vladimir
Kochyev, Alexander
Danelia, Mariam
Peev, Peicho
Andersson, Ulf
Nakamura, Hikaru
Illescas Cordoba, Miguel
Shirazi, Kamran
Gabrielian, Artur
Najer, Evgeniy
Fernandez Romero, Ernesto
Shvedchikov, Anatoli I.
Rau, Hannes
Schlemermeyer, Wilhelm
Barsov, Alexei
Sliwa, Bogdan
Niemann, Hans Moke
Solodovnichenko, Yuri
Lputian, Smbat G
Appel,R
